2025-09-21T15:50:19,484 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   com.google.guava.failureaccess/1.0.1
2025-09-21T15:50:19,486 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_com_ochafik_ochafik-swing_0.9.9_ochafik-swing-0.9.9.jar/0.0.0
2025-09-21T15:50:19,488 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_com_sun_xml_bind_jaxb-impl_2.1.2_jaxb-impl-2.1.2.jar/0.0.0
2025-09-21T15:50:19,490 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   com.cadence.tango.framework-installer/15.22.0.SNAPSHOT
2025-09-21T15:50:19,494 | ERROR | activator-1-thread-1 | Nio2Acceptor                     | 56 - org.apache.sshd.osgi - 2.9.2 | bind(/0.0.0.0:8101) - failed (BindException) to bind: Address already in use
2025-09-21T15:50:19,494 | WARN  | activator-1-thread-1 | Activator                        | 54 - org.apache.karaf.shell.ssh - 4.4.3 | Exception caught while starting SSH server
java.net.BindException: Address already in use
	at sun.nio.ch.Net.bind0(Native Method) ~[?:?]
	at sun.nio.ch.Net.bind(Net.java:461) ~[?:?]
	at sun.nio.ch.Net.bind(Net.java:453) ~[?:?]
	at sun.nio.ch.AsynchronousServerSocketChannelImpl.bind(AsynchronousServerSocketChannelImpl.java:164) ~[?:?]
	at org.apache.sshd.common.io.nio2.Nio2Acceptor.bind(Nio2Acceptor.java:83) ~[!/:2.9.2]
	at org.apache.sshd.common.io.nio2.Nio2Acceptor.bind(Nio2Acceptor.java:173) ~[!/:2.9.2]
	at org.apache.sshd.server.SshServer.start(SshServer.java:331) ~[!/:2.9.2]
	at org.apache.karaf.shell.ssh.Activator.createAndRunSshServer(Activator.java:129) ~[?:?]
	at org.apache.karaf.shell.ssh.Activator.doStart(Activator.java:116) ~[?:?]
	at org.apache.karaf.util.tracker.BaseActivator.run(BaseActivator.java:312) ~[?:?]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515) ~[?:?]
	at java.util.concurrent.FutureTask.run(FutureTask.java:264) ~[?:?]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128) ~[?:?]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628) ~[?:?]
	at java.lang.Thread.run(Thread.java:834) ~[?:?]
2025-09-21T15:50:32,491 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   com.sun.jna/4.4.0
2025-09-21T15:50:32,494 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.event/4.4.3
2025-09-21T15:50:32,503 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.event/4.4.3
2025-09-21T15:50:32,504 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_system_com_cadence_tango_plugins_installer_1.0.0_jfxswt.jar/0.0.0
2025-09-21T15:50:32,506 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   com.google.guava/28.2.0.jre
2025-09-21T15:50:32,510 | INFO  | features-3-thread-1 | Activator                        | 35 - org.apache.karaf.deployer.features - 4.4.3 | Deployment finished. Registering FeatureDeploymentListener
2025-09-21T15:50:32,637 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Done.
2025-09-21T15:50:43,002 | INFO  | AWT-EventQueue-0 | prefs                            | 5 - org.ops4j.pax.logging.pax-logging-api - 2.2.0 | Created user preferences directory.
